track_id,artist,title,B_top10_days,old_base_strength,new_base_strength,delta,old_static_score,estimated_new_static_score,reason
1021,スチャダラパー,サマージャム’95,106,82,80,-2,73.645,72.965,B年間TOP10 30日以上 / 超突出のため合計-2
19,MONO NO AWARE,幽霊船,73,89,87,-2,73.26,72.58,B年間TOP10 30日以上 / MONO NO AWARE一律-1 / 超突出のため合計-2
1013,The Police,Every Breath You Take,69,82,81,-1,72.6,72.26,B年間TOP10 30日以上
1061,Cyndi Lauper,Time After Time,59,79,78,-1,71.69,71.35,B年間TOP10 30日以上
1002,Jamiroquai,Virtual Insanity,57,84,83,-1,72.18,71.84,B年間TOP10 30日以上
1541,Cocco,カウントダウン,54,78,77,-1,71.68,71.34,B年間TOP10 30日以上
1090,The Beatles,Strawberry Fields Forever,48,82,81,-1,72.275,71.935,B年間TOP10 30日以上
20,MONO NO AWARE,水が湧いた,47,87,86,-1,72.15,71.81,B年間TOP10 30日以上 / MONO NO AWARE一律-1
1026,Björk,Hyper-ballad,46,79,78,-1,69.905,69.565,B年間TOP10 30日以上
1091,The Cure,Boys Don’t Cry,46,80,79,-1,71.645,71.305,B年間TOP10 30日以上
454,爆風スランプ,Runner,36,85,84,-1,70.22,69.88,B年間TOP10 30日以上
471,TRF,寒い夜だから…,36,81,80,-1,71.57,71.23,B年間TOP10 30日以上
1011,Underworld,Born Slippy (Nuxx),35,79,78,-1,72.69,72.35,B年間TOP10 30日以上
1023,Carpenters,(They Long To Be) Close To You,35,82,81,-1,71.79,71.45,B年間TOP10 30日以上
11,MONO NO AWARE,異邦人,33,88,87,-1,72.3,71.96,B年間TOP10 30日以上 / MONO NO AWARE一律-1
1020,The Doobie Brothers,What a Fool Believes,30,82,81,-1,71.285,70.945,B年間TOP10 30日以上
1048,Ben E. King,Stand By Me,30,81,80,-1,72.7,72.36,B年間TOP10 30日以上
1333,R.E.M.,Man on the Moon,30,78,77,-1,69.27,68.93,B年間TOP10 30日以上
9,MONO NO AWARE,そこにあったから,22,85,84,-1,69.89,69.55,MONO NO AWARE一律-1
14,MIZ,とびうおのうた,21,86,85,-1,70.77,70.43,MIZ一律-1
16,MIZ,暑中見舞い,16,83,82,-1,68.995,68.655,MIZ一律-1
10,MIZ,パジャマでハイウェイ,14,88,87,-1,70.725,70.385,MIZ一律-1
8,MIZ,君に会った日は,13,84,83,-1,69.64,69.3,MIZ一律-1
12,MIZ,丘,10,81,80,-1,69.545,69.205,MIZ一律-1
17,MONO NO AWARE,風の向きが変わって,9,85,84,-1,70.48,70.14,MONO NO AWARE一律-1
15,MONO NO AWARE,もうけもん,7,84,83,-1,70.075,69.735,MONO NO AWARE一律-1
1,MONO NO AWARE,東京,6,89,88,-1,72.4,72.06,MONO NO AWARE一律-1
7,MONO NO AWARE,ゾッコン,3,89,88,-1,70.82,70.48,MONO NO AWARE一律-1
18,MONO NO AWARE,アングル,2,88,87,-1,69.875,69.535,MONO NO AWARE一律-1
2,MIZ,パレード,0,82,81,-1,69.765,69.425,MIZ一律-1
3,MONO NO AWARE,イワンコッチャナイ,0,80,79,-1,66.595,66.255,MONO NO AWARE一律-1
4,MIZ,空砲,0,85,84,-1,70.57,70.23,MIZ一律-1
5,MONO NO AWARE,かむかもしかもにどもかも！,0,80,79,-1,65.645,65.305,MONO NO AWARE一律-1
6,MIZ,夏がきたら,0,84,83,-1,67.98,67.64,MIZ一律-1
13,MONO NO AWARE,孤独になってみたい,0,80,79,-1,66.925,66.585,MONO NO AWARE一律-1
