track_id,artist,title,base_strength,emo,popularity,hachijo_fit,oddity,stickiness,volatility,enabled,release_year,freshness_bonus
1,MONO NO AWARE,東京,84,92,44,100,49,69,50,1,,0.0
2,MIZ,パレード,79,88,38,93,38,83,64,1,2020,0.5
3,MONO NO AWARE,イワンコッチャナイ,75,77,31,95,47,77,51,1,,0.0
4,MIZ,空砲,82,80,30,100,52,87,58,1,,0.0
5,MONO NO AWARE,かむかもしかもにどもかも！,75,81,33,95,40,68,59,1,,0.0
6,MIZ,夏がきたら,81,81,27,100,48,74,50,1,,0.0
7,MONO NO AWARE,ゾッコン,84,80,42,100,47,73,64,1,2020,0.5
8,MIZ,君に会った日は,81,77,30,100,58,83,48,1,,0.0
9,MONO NO AWARE,そこにあったから,80,83,39,100,53,72,49,1,2021,0.5
10,MIZ,パジャマでハイウェイ,85,87,28,93,41,82,66,1,,0.0
11,MONO NO AWARE,異邦人,83,93,26,88,56,82,47,1,2021,0.5
12,MIZ,丘,78,96,30,97,52,73,57,1,2026,2.5
13,MONO NO AWARE,孤独になってみたい,75,80,34,89,40,79,56,1,2021,0.5
14,MIZ,とびうおのうた,83,88,32,90,55,77,54,1,2026,2.5
15,MONO NO AWARE,もうけもん,79,82,44,89,45,80,66,1,2024,1.5
16,MIZ,暑中見舞い,80,92,30,89,55,69,55,1,2026,2.5
17,MONO NO AWARE,風の向きが変わって,80,93,25,92,56,76,51,1,2023,1.0
18,MONO NO AWARE,アングル,83,84,38,93,49,68,64,1,2024,1.5
19,MONO NO AWARE,幽霊船,83,89,34,100,58,81,56,1,2021,0.5
20,MONO NO AWARE,水が湧いた,82,92,35,100,42,82,66,1,2021,0.5
21,おとぎ話,アテなし,73,76,22,74,59,63,70,1,,0.0
22,アカシック,8ミリフィルム,70,90,23,61,48,62,64,1,,0.0
23,乙女絵画,川,67,92,25,59,67,60,67,1,,0.0
24,シャムキャッツ,Four O’clock Flower,75,91,30,61,58,63,56,1,,0.0
25,台風クラブ,まつりのあと,73,88,28,64,64,67,56,1,,0.0
26,家主,家主のテーマ,68,74,24,75,56,64,52,1,,0.0
27,踊ってばかりの国,Boy,73,80,25,67,55,70,63,1,,0.0
