track_id,old_artist,old_title,new_artist,new_title,change_kind,state_policy
301,椎名林檎,丸ノ内サディスティック,SEAGULL SCREAMING KISS HER KISS HER,SENTIMENTAL JOURNEY,edge_reassign,RESET_TO_STANDARD_INITIAL_TRACK_STATE
451,WANDS,時の扉,WANDS,Secret Night ～It's My Treat～,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
452,大黒摩季,ら・ら・ら,大黒摩季,Harlem Night,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
453,LINDBERG,今すぐKiss Me,LINDBERG,清く正しく行こう,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
454,爆風スランプ,Runner,爆風スランプ,月光,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
455,ZARD,負けないで,ZARD,IN MY ARMS TONIGHT,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
457,DEEN,このまま君だけを奪い去りたい,DEEN,翼を広げて,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
458,T-BOLAN,離したくはない,T-BOLAN,すれ違いの純情,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
459,B'z,ALONE,B'z,MOTEL,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
461,スピッツ,ロビンソン,スピッツ,裸のままで,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
462,サザンオールスターズ,真夏の果実,サザンオールスターズ,エロティカ・セブン,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
463,JUDY AND MARY,Over Drive,JUDY AND MARY,BLUE TEARS,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
465,L'Arc～en～Ciel,flower,L'Arc～en～Ciel,metropolis,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
466,GLAY,BELOVED,GLAY,Freeze My Love,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
468,X JAPAN,ENDLESS RAIN,X JAPAN,DAHLIA,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
470,TM NETWORK,Get Wild,TM NETWORK,69/99,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
471,TRF,寒い夜だから…,TRF,masquerade,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
472,globe,DEPARTURES,globe,FREEDOM,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
473,Every Little Thing,Time goes by,Every Little Thing,Shapes Of Love,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
475,ウルフルズ,バンザイ ～好きでよかった～,ウルフルズ,大阪ストラット,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
476,シャ乱Q,シングルベッド,シャ乱Q,上・京・物・語,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
477,KAN,愛は勝つ,KAN,東京ライフ,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
478,槇原敬之,どんなときも。,槇原敬之,Hungry Spider,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
