variant,month,average_retention,average_replacements,unique_tracks,NEW,RE,new200_slot_share
A,2026-08,8.0,2.0,20,20,0,
A,2026-09,8.066666666666666,1.9333333333333333,64,54,4,
A,2026-10,7.741935483870968,2.2580645161290325,72,58,12,
A,2026-11,7.8,2.2,69,55,11,
A,2026-12,8.0,2.0,66,41,21,
A,2027-01,7.516129032258065,2.4838709677419355,82,49,28,
A,2027-02,7.892857142857143,2.107142857142857,60,28,31,
A,2027-03,8.03225806451613,1.967741935483871,64,26,35,
A,2027-04,7.866666666666666,2.1333333333333333,68,33,31,
A,2027-05,7.806451612903226,2.193548387096774,73,31,37,
A,2027-06,7.7,2.3,73,27,42,
A,2027-07,7.806451612903226,2.193548387096774,73,30,38,
A,2027-08,7.4,2.6,70,27,38,
B,2026-08,8.2,1.8,19,19,0,0.03333333333333333
B,2026-09,7.533333333333333,2.466666666666667,81,70,4,0.17333333333333334
B,2026-10,7.67741935483871,2.3225806451612905,75,59,13,0.11612903225806452
B,2026-11,7.833333333333333,2.1666666666666665,69,52,13,0.16666666666666666
B,2026-12,7.645161290322581,2.3548387096774195,79,51,22,0.1
B,2027-01,7.903225806451613,2.096774193548387,70,43,22,0.08064516129032258
B,2027-02,8.035714285714286,1.9642857142857142,62,24,31,0.039285714285714285
B,2027-03,7.548387096774194,2.4516129032258065,79,41,35,0.1032258064516129
B,2027-04,7.566666666666666,2.433333333333333,73,38,35,0.07666666666666666
B,2027-05,7.838709677419355,2.161290322580645,71,28,39,0.07419354838709677
B,2027-06,7.533333333333333,2.466666666666667,73,30,44,0.07
B,2027-07,7.709677419354839,2.2903225806451615,76,30,41,0.12903225806451613
B,2027-08,7.52,2.48,69,18,44,0.1
