artist,A_track_count,B_track_count,new200_track_count,A_slots,B_slots,B_new200_slots,B_new200_charted_tracks
10cc,1,1,0,0,0,0,0
1986オメガトライブ,2,2,0,0,0,0,0
2NE1,1,1,0,0,2,0,0
AAAMYYY,3,3,0,0,2,0,0
ABBA,1,1,0,1,0,0,0
ACIDMAN,3,3,0,5,7,0,0
ART-SCHOOL,3,3,0,1,8,0,0
ASIAN KUNG-FU GENERATION,4,4,0,0,0,0,0
Adele,1,1,0,2,0,0,0
Aimer,3,3,0,0,0,0,0
Al Green,1,1,0,0,0,0,0
Al Kooper,1,1,0,0,0,0,0
Alan Walker,1,1,0,17,0,0,0
Alanis Morissette,2,2,0,5,1,0,0
Alfred Beach Sandal,3,3,0,4,0,0,0
Alice in Chains,1,1,0,0,0,0,0
Alicia Keys,1,1,0,31,9,0,0
Alvvays,1,1,0,0,0,0,0
American Football,1,1,0,0,0,0,0
Aphex Twin,1,1,0,0,0,0,0
Arctic Monkeys,3,3,0,4,4,0,0
Ariana Grande,2,2,0,7,3,0,0
Avicii,2,2,0,64,31,0,0
Awesome City Club,2,2,0,6,1,0,0
B'z,3,3,0,19,12,0,0
BACK DROP BOMB,0,4,4,0,0,0,0
BEAT CRUSADERS,3,5,2,16,0,0,0
BEGIN,2,2,0,13,18,0,0
BIGBANG,1,1,0,15,3,0,0
BIM,3,3,0,1,2,0,0
BLACKPINK,2,2,0,17,15,0,0
BLANKEY JET CITY,0,5,5,0,1,1,1
BONNIE PINK,0,4,4,0,4,4,2
BRAHMAN,0,4,4,0,0,0,0
BREIMEN,3,3,0,4,4,0,0
BTS,2,2,0,18,4,0,0
BUMP OF CHICKEN,4,4,0,7,10,0,0
Base Ball Bear,2,2,0,5,0,0,0
Beach House,2,2,0,0,0,0,0
Beck,4,4,0,0,0,0,0
Bee Gees,1,1,0,2,0,0,0
Belle and Sebastian,2,5,3,0,5,4,1
Ben E. King,1,1,0,41,30,0,0
Beyoncé,2,2,0,3,25,0,0
BiSH,3,3,0,0,5,0,0
Big Thief,1,1,0,0,0,0,0
Bill Evans,1,1,0,0,0,0,0
Billie Eilish,2,2,0,6,1,0,0
Billy Joel,3,3,0,0,14,0,0
Björk,1,1,0,2,46,0,0
Blink-182,2,2,0,4,0,0,0
Blur,5,5,0,15,0,0,0
Bob Dylan,1,1,0,5,0,0,0
Bon Jovi,2,2,0,3,18,0,0
Bruno Mars,2,2,0,11,4,0,0
Buffalo Daughter,0,4,4,0,0,0,0
CHAGE and ASKA,3,3,0,14,0,0,0
CHAI,3,3,0,0,0,0,0
Calvin Harris,2,2,0,7,20,0,0
Camera Obscura,1,1,0,0,0,0,0
Carly Rae Jepsen,1,1,0,0,2,0,0
Carole King,1,1,0,3,9,0,0
Carpenters,1,1,0,17,35,0,0
Chappell Roan,1,1,0,0,0,0,0
Chara,3,3,0,2,0,0,0
Clairo,2,2,0,0,1,0,0
Clean Bandit,1,1,0,13,24,0,0
Cocco,0,5,5,0,128,128,4
Cocteau Twins,2,2,0,0,0,0,0
Cody・Lee(李),2,2,0,0,0,0,0
Coldplay,6,6,0,5,7,0,0
Cornelius,5,5,0,12,0,0,0
Crowded House,1,1,0,0,0,0,0
Cymbals,4,4,0,1,6,0,0
Cyndi Lauper,1,1,0,27,59,0,0
D.A.N.,3,3,0,0,0,0,0
DEEN,3,3,0,11,22,0,0
DJ Snake,2,2,0,7,23,0,0
DREAMS COME TRUE,3,3,0,51,11,0,0
DYGL,3,3,0,0,0,0,0
DYINGDAY,2,2,0,0,0,0,0
Daft Punk,3,3,0,37,9,0,0
David Bowie,2,2,0,0,0,0,0
David Guetta,2,2,0,24,4,0,0
Derek & The Dominos,1,1,0,19,0,0,0
Diana Ross,1,1,0,8,0,0,0
Dinosaur Jr.,3,3,0,0,0,0,0
Disclosure,2,2,0,14,0,0,0
Do As Infinity,2,2,0,6,36,0,0
Doja Cat,1,1,0,3,0,0,0
Donald Fagen,2,2,0,4,7,0,0
Dr. Dre,1,1,0,0,0,0,0
Dua Lipa,2,2,0,2,0,0,0
EPO,3,3,0,6,3,0,0
EXO,1,1,0,10,10,0,0
Eagles,1,1,0,4,0,0,0
"Earth, Wind & Fire",1,1,0,26,0,0,0
Ed Sheeran,1,1,0,26,27,0,0
Elliott Smith,0,2,2,0,25,25,2
Elton John,1,1,0,0,0,0,0
Emerald,3,3,0,0,0,0,0
Enya,2,2,0,0,0,0,0
Eric Clapton,1,1,0,0,0,0,0
Eric Prydz,1,1,0,3,0,0,0
Every Little Thing,3,3,0,9,1,0,0
Everything But The Girl,2,2,0,1,0,0,0
FIELD OF VIEW,3,3,0,12,0,0,0
Fatboy Slim,1,1,0,2,0,0,0
Fishmans,10,10,0,17,13,0,0
Fleetwood Mac,2,2,0,0,2,0,0
Flying Lotus,1,1,0,0,0,0,0
Foo Fighters,3,3,0,7,27,0,0
For Tracy Hyde,3,3,0,0,0,0,0
Franz Ferdinand,2,2,0,0,21,0,0
G-DRAGON,1,1,0,0,0,0,0
GEZAN,3,3,0,0,0,0,0
GLAY,3,3,0,8,8,0,0
GO!GO!7188,4,4,0,0,12,0,0
GOING STEADY,0,5,5,0,33,33,2
GOING UNDER GROUND,3,3,0,1,2,0,0
GRAPEVINE,4,4,0,0,0,0,0
GREAT3,0,4,4,0,1,1,1
Galantis,1,1,0,19,3,0,0
Galaxie 500,2,4,2,0,0,0,0
Galileo Galilei,2,2,0,0,0,0,0
Garbage,2,2,0,0,0,0,0
George Harrison,1,1,0,0,0,0,0
Girls' Generation,1,1,0,7,0,0,0
Gotye,1,1,0,0,6,0,0
Green Day,4,4,0,0,1,0,0
"Grover Washington, Jr.",1,1,0,0,0,0,0
Guns N’ Roses,1,1,0,0,1,0,0
HUSKING BEE,0,5,5,0,2,2,1
Hall & Oates,2,2,0,0,0,0,0
Hana Hope,2,2,0,0,5,0,0
Harry Styles,1,1,0,0,1,0,0
Helsinki Lambda Club,3,3,0,2,1,0,0
Hi-STANDARD,1,5,4,0,4,4,2
Homecomings,3,3,0,0,1,0,0
Hot Chip,1,1,0,0,0,0,0
IU,1,1,0,2,0,0,0
IVE,2,2,0,22,4,0,0
Imagine Dragons,1,1,0,0,0,0,0
JUDY AND MARY,3,5,2,17,12,1,1
JUN SKY WALKER(S),3,3,0,25,16,0,0
Jamiroquai,1,1,0,38,57,0,0
Janet Jackson,1,1,0,0,0,0,0
Jeff Buckley,1,1,0,0,0,0,0
Jimi Hendrix,1,1,0,1,0,0,0
Joy Division,1,1,0,0,1,0,0
Justin Bieber,1,1,0,5,0,0,0
KAN,3,3,0,1,2,0,0
