track_id,artist,title,pool,A_top10_days,B_top10_days,difference,B_number1_days,B_RE_count,static_score
1,MONO NO AWARE,東京,existing,10,6,-4,0,1,72.4
2,MIZ,パレード,existing,2,0,-2,0,0,69.765
3,MONO NO AWARE,イワンコッチャナイ,existing,0,0,0,0,0,66.595
4,MIZ,空砲,existing,2,0,-2,0,0,70.57000000000001
5,MONO NO AWARE,かむかもしかもにどもかも！,existing,0,0,0,0,0,65.645
6,MIZ,夏がきたら,existing,6,0,-6,0,0,67.98
7,MONO NO AWARE,ゾッコン,existing,12,3,-9,0,0,70.82000000000001
8,MIZ,君に会った日は,existing,9,13,4,3,1,69.64
9,MONO NO AWARE,そこにあったから,existing,3,22,19,2,2,69.89
10,MIZ,パジャマでハイウェイ,existing,14,14,0,0,2,70.725
11,MONO NO AWARE,異邦人,existing,48,33,-15,3,2,72.30000000000001
12,MIZ,丘,existing,22,10,-12,4,3,69.545
13,MONO NO AWARE,孤独になってみたい,existing,0,0,0,0,0,66.925
14,MIZ,とびうおのうた,existing,43,21,-22,0,2,70.77000000000001
15,MONO NO AWARE,もうけもん,existing,7,7,0,0,0,70.075
16,MIZ,暑中見舞い,existing,0,16,16,0,2,68.995
17,MONO NO AWARE,風の向きが変わって,existing,22,9,-13,0,0,70.48
18,MONO NO AWARE,アングル,existing,24,2,-22,0,0,69.875
19,MONO NO AWARE,幽霊船,existing,37,73,36,11,5,73.26
20,MONO NO AWARE,水が湧いた,existing,62,47,-15,8,2,72.15
21,おとぎ話,アテなし,existing,0,0,0,0,0,61.31
22,アカシック,8ミリフィルム,existing,0,0,0,0,0,60.17999999999999
23,乙女絵画,川,existing,0,0,0,0,0,60.43
24,シャムキャッツ,Four O’clock Flower,existing,1,2,1,0,0,63.57000000000001
25,台風クラブ,まつりのあと,existing,0,0,0,0,0,63.63999999999999
26,家主,家主のテーマ,existing,0,0,0,0,0,59.475
27,踊ってばかりの国,Boy,existing,0,0,0,0,0,62.35000000000001
28,トリプルファイヤー,次やったら殴る,existing,0,1,1,0,0,64.78500000000001
29,ラッキーオールドサン,ミッドナイト・バス,existing,0,0,0,0,0,60.75
30,カネコアヤノ,祝日,existing,0,0,0,0,0,67.09000000000002
31,きのこ帝国,金木犀の夜,existing,0,0,0,0,0,61.93
32,cero,Summer Soul,existing,0,0,0,0,0,62.505
33,ミツメ,エスパー,existing,0,0,0,0,0,64.86
34,Homecomings,HURTS,existing,0,0,0,0,0,61.08000000000001
35,Yogee New Waves,CLIMAX NIGHT,existing,0,0,0,0,0,64.80000000000001
36,never young beach,明るい未来,existing,0,2,2,0,0,63.19
37,Tempalay,革命前夜,existing,0,0,0,0,0,64.745
38,羊文学,1999,existing,0,0,0,0,0,65.15
39,BiSH,オーケストラ,existing,0,5,5,0,0,62.46000000000001
40,CHAI,N.E.O.,existing,0,0,0,0,0,57.67
41,DYGL,Let It Out,existing,0,0,0,0,0,61.88
42,D.A.N.,Native Dancer,existing,0,0,0,0,0,65.64
43,Suchmos,MINT,existing,0,0,0,0,0,63.379999999999995
44,LUCKY TAPES,MOON,existing,5,0,-5,0,0,62.94500000000001
45,SIRUP,Loop,existing,0,0,0,0,0,65.27
46,iri,Wonderland,existing,0,0,0,0,0,66.11000000000001
47,yonawo,tokyo,existing,0,0,0,0,0,65.80000000000001
48,TENDRE,DOCUMENT,existing,5,0,-5,0,0,62.470000000000006
49,STUTS,Mirrors,existing,0,0,0,0,0,61.39
50,PUNPEE,タイムマシーンにのって,existing,0,0,0,0,0,62.26
51,KID FRESINO,Salve,existing,3,0,-3,0,0,65.735
52,BIM,Bonita,existing,0,1,1,0,0,62.24000000000001
53,chelmico,Easy Breezy,existing,0,0,0,0,0,59.86
54,スカート,静かな夜がいい,existing,1,2,1,0,0,65.59
55,柴田聡子,後悔,existing,1,0,-1,0,0,64.305
56,折坂悠太,朝顔,existing,0,0,0,0,0,65.625
57,君島大空,遠視のコントラルト,existing,0,0,0,0,0,63.980000000000004
58,崎山蒼志,五月雨,existing,0,0,0,0,0,61.00000000000001
59,青葉市子,いきのこり●ぼくら,existing,0,0,0,0,0,58.760000000000005
60,mei ehara,最初の日は,existing,0,0,0,0,0,65.55000000000001
61,角銅真実,Lullaby,existing,0,2,2,0,0,63.445
62,浮,つきひ,existing,0,0,0,0,0,59.745000000000005
63,寺尾紗穂,楕円の夢,existing,0,0,0,0,0,62.45
64,前野健太,東京の空,existing,0,0,0,0,0,62.90000000000001
65,さよならポニーテール,空も飛べるはず,existing,0,0,0,0,0,57.39
66,相対性理論,LOVEずっきゅん,existing,3,0,-3,0,0,64.83500000000001
67,やくしまるえつこ,ヴィーナスとジーザス,existing,0,0,0,0,0,63.39
68,パスピエ,トロイメライ,existing,0,0,0,0,0,60.894999999999996
69,水曜日のカンパネラ,桃太郎,existing,0,0,0,0,0,62.160000000000004
70,森は生きている,光の蠱惑,existing,0,0,0,0,0,65.09500000000001
71,VIDEOTAPEMUSIC,世界各国の夜,existing,0,2,2,0,0,66.89500000000001
72,Alfred Beach Sandal,Fugue State,existing,0,0,0,0,0,62.050000000000004
73,思い出野郎Aチーム,ダンスに間に合う,existing,6,3,-3,0,0,67.28
74,YOUR SONG IS GOOD,THE LOVE SONG,existing,0,0,0,0,0,63.70000000000001
75,キセル,ハナレバナレ,existing,0,1,1,0,0,59.30500000000001
76,Polaris,深呼吸,existing,5,0,-5,0,0,65.30999999999999
77,clammbon,Re-雨,existing,0,1,1,0,0,61.78000000000001
78,七尾旅人,サーカスナイト,existing,0,0,0,0,0,63.18000000000001
79,奇妙礼太郎,君が誰かの彼女になりくさっても,existing,0,0,0,0,0,63.580000000000005
80,王舟,Thailand,existing,0,1,1,0,0,63.88
81,トクマルシューゴ,Rum Hee,existing,0,0,0,0,0,60.519999999999996
82,mei semones,Kabutomushi,existing,0,0,0,0,0,59.78000000000001
83,betcover!!,NOBORU,existing,0,0,0,0,0,64.22000000000001
84,GEZAN,萃点,existing,0,0,0,0,0,63.525000000000006
85,ドミコ,こんなのおかしくない？,existing,0,0,0,0,0,64.03000000000002
86,Helsinki Lambda Club,TVHBD,existing,0,0,0,0,0,64.30999999999999
87,odol,生活,existing,0,0,0,0,0,63.95
88,Laura day romance,sad number,existing,0,1,1,0,0,67.175
89,For Tracy Hyde,Underwater Girl,existing,0,0,0,0,0,61.935
90,Luby Sparks,Thursday,existing,0,0,0,0,0,57.480000000000004
91,DYINGDAY,Out of Blue,existing,0,0,0,0,0,62.17
92,NOT WONK,Down the Valley,existing,0,0,0,0,0,62.95
93,No Buses,Pretty Old Man,existing,0,0,0,0,0,61.95
94,KOTORI,EVERGREEN,existing,0,0,0,0,0,64.49
95,リーガルリリー,リッケンバッカー,existing,0,0,0,0,0,67.26
96,"Lucie,Too",Lucky,existing,0,1,1,0,0,67.265
97,teto,高層ビルと人工衛星,existing,0,0,0,0,0,63.230000000000004
98,PK shampoo,京都線,existing,0,0,0,0,0,61.160000000000004
99,時速36km,七月七日通り,existing,0,0,0,0,0,62.675000000000004
100,ズーカラデル,生活,existing,0,0,0,0,0,63.00000000000001
101,浪漫革命,愛は1/2,existing,0,0,0,0,0,62.45
102,BREIMEN,IWBYL,existing,4,2,-2,0,0,65.23
103,AAAMYYY,Leeloo,existing,0,1,1,0,0,65.97
