seed,variant,average_daily_retention,average_daily_replacements,ever_charted_tracks,ever_charted_rate,NEW,RE,longest_number1_streak,longest_top10_streak,top25_share,top100_share,new200_tracks,new200_ever,new200_ever_rate,new200_slots,new200_slot_share,new200_mean,new200_median
20260826,A,7.81043956043956,2.1895604395604398,479,0.34485241180705545,479,328,9,18,0.2621917808219178,0.5876712328767123,,,,,,,
20260826,B,7.7032967032967035,2.2967032967032965,503,0.31655129011957206,503,343,8,20,0.29013698630136986,0.6095890410958904,200,59,0.295,371,0.10164383561643836,1.855,0.0
12345,A,7.826923076923077,2.173076923076923,442,0.3182145428365731,442,359,9,19,0.28054794520547943,0.6208219178082192,,,,,,,
12345,B,7.782967032967033,2.217032967032967,470,0.29578351164254246,470,347,11,22,0.30876712328767125,0.6317808219178083,200,47,0.235,426,0.11671232876712329,2.13,0.0
20260901,A,7.799450549450549,2.2005494505494507,467,0.3362131029517639,467,344,12,21,0.2947945205479452,0.6320547945205479,,,,,,,
20260901,B,7.824175824175824,2.1758241758241756,468,0.2945248584015104,468,334,11,19,0.28657534246575345,0.6336986301369864,200,54,0.27,468,0.12821917808219177,2.34,0.0
777,A,7.81043956043956,2.1895604395604398,469,0.33765298776097913,469,338,9,24,0.3082191780821918,0.6273972602739726,,,,,,,
777,B,7.777472527472527,2.2225274725274726,499,0.31403398363750784,499,320,8,20,0.25452054794520546,0.5827397260273972,200,53,0.265,349,0.09561643835616439,1.745,0.0
424242,A,7.862637362637362,2.1373626373626373,451,0.32469402447804174,451,337,10,20,0.2915068493150685,0.6526027397260274,,,,,,,
424242,B,7.791208791208791,2.208791208791209,482,0.30333543108873506,482,332,9,23,0.2821917808219178,0.6235616438356164,200,52,0.26,463,0.12684931506849315,2.315,0.0
