rank,artist,top10_slots
1,スチャダラパー,104
2,MONO NO AWARE,92
3,團伊玖磨,85
4,MIZ,58
5,Massive Attack,53
6,The Doobie Brothers,48
7,Cyndi Lauper,46
8,Carpenters,46
9,Ben E. King,45
10,鼓童,44
11,COALTAR OF THE DEEPERS,42
12,David Guetta,41
13,Thee Michelle Gun Elephant,39
14,PEALOUT,38
15,Jamiroquai,35
16,TRF,32
17,U2,30
18,Susumu Yokota,30
19,Oasis,29
20,斉藤和義,29
21,レミオロメン,28
22,The Police,28
23,GOING STEADY,28
24,ORIGINAL LOVE,27
25,宇多田ヒカル,27
26,Queen,26
27,LUNA SEA,26
28,ゆらゆら帝国,26
29,The Beatles,26
30,福島弘和,26
