rank,track_id,artist,title,top10_days
1,1594,團伊玖磨,オリンピック序曲,85
2,1021,スチャダラパー,サマージャム’95,64
3,1020,The Doobie Brothers,What a Fool Believes,48
4,1061,Cyndi Lauper,Time After Time,46
5,1023,Carpenters,(They Long To Be) Close To You,46
6,1048,Ben E. King,Stand By Me,45
7,1542,COALTAR OF THE DEEPERS,My Speedy Sarah,42
8,1543,PEALOUT,爆裂世界 ～世界に追い越されても～,38
9,1246,David Guetta,Memories (feat. Kid Cudi),35
10,20,MONO NO AWARE,水が湧いた,35
11,1002,Jamiroquai,Virtual Insanity,35
12,1589,Massive Attack,Unfinished Sympathy,35
13,1305,鼓童,凰（おおとり）,34
14,1545,Susumu Yokota,Saku,30
15,1013,The Police,Every Breath You Take,28
16,348,レミオロメン,電話,26
17,542,斉藤和義,歩いて帰ろう,26
18,1601,福島弘和,吹奏楽のための「おじゃれ」,26
19,764,EPO,土曜の夜はパラダイス,26
20,1321,Foo Fighters,Everlong,25
21,16,MIZ,暑中見舞い,25
22,1341,Pulp,Disco 2000,24
23,1314,U2,Beautiful Day,24
24,1446,Thee Michelle Gun Elephant,G.W.D,24
25,459,B'z,MOTEL,23
26,1327,Weezer,Buddy Holly,23
27,1,MONO NO AWARE,東京,23
28,471,TRF,masquerade,22
29,1394,GOING STEADY,BABY BABY,22
30,1010,Oasis,Live Forever,21
31,19,MONO NO AWARE,幽霊船,21
32,1257,Clean Bandit,Rather Be (feat. Jess Glynne),21
33,1269,LMFAO,Party Rock Anthem,21
34,1475,スチャダラパー,ゲームボーイズ,20
35,1046,星野源,不思議,20
36,500,モーニング娘。,Memory 青春の光,20
37,1450,ゆらゆら帝国,発光体,20
38,1508,RCサクセション,多摩蘭坂,20
39,14,MIZ,とびうおのうた,20
40,1588,Portishead,Sour Times,19
41,1011,Underworld,Born Slippy (Nuxx),18
42,1012,Massive Attack,Teardrop,18
43,1068,Simon & Garfunkel,Bridge Over Troubled Water,18
44,1719,Kaoru Inoue,The Invisible Eclipse,18
45,1712,Macdonald Duck Eclair,short short,18
46,470,TM NETWORK,69/99,18
47,1709,Satanicpornocultshop,Anorexia Gas Balloon,18
48,1270,Galantis,Runaway (U & I),17
49,1699,湯川潮音,緑のアーチ,17
50,1252,Kygo,Stole the Show (feat. Parson James),17
